54|fully covered|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentType#79x2
56|fully covered|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentType#79
61|fully covered|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentType#79|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentTypeParameterOverrides#104|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartContentTypeParameter#91|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartOptions#52|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testBasics#44|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testAddBodyParts#65|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testImplictContractorParams#68|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testNonRepeatable#121|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testRepeatable#89|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testExplictContractorParams#47
62|fully covered|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentType#79|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentTypeParameterOverrides#104|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartContentTypeParameter#91|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartOptions#52|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testBasics#44|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testAddBodyParts#65|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testImplictContractorParams#68|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testNonRepeatable#121|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testRepeatable#89|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testExplictContractorParams#47
63|fully covered|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentType#79|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentTypeParameterOverrides#104|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartContentTypeParameter#91|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartOptions#52|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testBasics#44|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testAddBodyParts#65|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testImplictContractorParams#68|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testNonRepeatable#121|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testRepeatable#89|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testExplictContractorParams#47
64|fully covered|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentType#79|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentTypeParameterOverrides#104|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartContentTypeParameter#91|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartOptions#52|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testBasics#44|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testAddBodyParts#65|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testImplictContractorParams#68|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testNonRepeatable#121|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testRepeatable#89|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testExplictContractorParams#47
67|fully covered|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentType#79|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentTypeParameterOverrides#104|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartContentTypeParameter#91|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartOptions#52|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testBasics#44|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testAddBodyParts#65|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testImplictContractorParams#68|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testNonRepeatable#121|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testRepeatable#89|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testExplictContractorParams#47
70|fully covered|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentType#79|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentTypeParameterOverrides#104|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartContentTypeParameter#91|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartOptions#52|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testBasics#44|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testAddBodyParts#65|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testImplictContractorParams#68|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testNonRepeatable#121|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testRepeatable#89|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testExplictContractorParams#47
71|fully covered|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentType#79|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentTypeParameterOverrides#104|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartContentTypeParameter#91|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartOptions#52|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testBasics#44|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testAddBodyParts#65|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testImplictContractorParams#68|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testNonRepeatable#121|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testRepeatable#89|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testExplictContractorParams#47
79|fully covered|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentType#83|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentTypeParameterOverrides#111|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartOptions#55|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testExplictContractorParams#48
80|fully covered|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentType#83|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartCustomContentTypeParameterOverrides#111|org.apache.hc.client5.http.entity.mime.TestMultipartEntityBuilder#testMultipartOptions#55|org.apache.hc.client5.http.entity.mime.TestMultipartFormHttpEntity#testExplictContractorParams#48
