85,fully covered,org.apache.http.entity.mime.FormBodyPartTest#testConstructorCompat#42
86,fully covered,org.apache.http.entity.mime.FormBodyPartTest#testConstructorCompat#42
89,partially covered,org.apache.http.entity.mime.TestMultipartForm#testMultipartFormRFC6532#246,org.apache.http.entity.mime.TestMultipartForm#testMultipartFormBinaryParts#146,org.apache.http.entity.mime.TestMultipartForm#testMultipartFormStrict#191
90,fully covered,org.apache.http.entity.mime.TestMultipartForm#testMultipartFormStrict#191,org.apache.http.entity.mime.TestMultipartForm#testMultipartFormRFC6532#246,org.apache.http.entity.mime.TestMultipartForm#testMultipartFormBinaryParts#146
96,fully covered,org.apache.http.entity.mime.FormBodyPartTest#testConstructorCompat#42,org.apache.http.entity.mime.TestFormBodyPartBuilder#testBuildBodyPartMultipleBuilds#79,org.apache.http.entity.mime.TestMultipartEntityBuilder#testAddBodyParts#68,"org.apache.http.entity.mime.TestMultipartForm#testMultipartFormStrict#191, 196","org.apache.http.entity.mime.TestMultipartForm#testMultipartFormRFC6532#246, 251",org.apache.http.entity.mime.TestMultipartForm#testMultipartFormBinaryParts#146
97,fully covered,org.apache.http.entity.mime.FormBodyPartTest#testConstructorCompat#42,org.apache.http.entity.mime.TestFormBodyPartBuilder#testBuildBodyPartMultipleBuilds#79,org.apache.http.entity.mime.TestMultipartEntityBuilder#testAddBodyParts#68,"org.apache.http.entity.mime.TestMultipartForm#testMultipartFormStrict#191, 196","org.apache.http.entity.mime.TestMultipartForm#testMultipartFormRFC6532#246, 251",org.apache.http.entity.mime.TestMultipartForm#testMultipartFormBinaryParts#146
98,fully covered,org.apache.http.entity.mime.FormBodyPartTest#testConstructorCompat#42,org.apache.http.entity.mime.TestFormBodyPartBuilder#testBuildBodyPartMultipleBuilds#79,org.apache.http.entity.mime.TestMultipartEntityBuilder#testAddBodyParts#68,"org.apache.http.entity.mime.TestMultipartForm#testMultipartFormStrict#191, 196","org.apache.http.entity.mime.TestMultipartForm#testMultipartFormRFC6532#246, 251",org.apache.http.entity.mime.TestMultipartForm#testMultipartFormBinaryParts#146
99,fully covered,"org.apache.http.entity.mime.TestMultipartForm#testMultipartFormStrict#191, 196","org.apache.http.entity.mime.TestMultipartForm#testMultipartFormRFC6532#246, 251",org.apache.http.entity.mime.TestMultipartForm#testMultipartFormBinaryParts#146,org.apache.http.entity.mime.FormBodyPartTest#testConstructorCompat#42,org.apache.http.entity.mime.TestMultipartEntityBuilder#testAddBodyParts#68,org.apache.http.entity.mime.TestFormBodyPartBuilder#testBuildBodyPartMultipleBuilds#79
100,fully covered,org.apache.http.entity.mime.FormBodyPartTest#testConstructorCompat#42,org.apache.http.entity.mime.TestFormBodyPartBuilder#testBuildBodyPartMultipleBuilds#79,org.apache.http.entity.mime.TestMultipartEntityBuilder#testAddBodyParts#68,"org.apache.http.entity.mime.TestMultipartForm#testMultipartFormStrict#191, 196","org.apache.http.entity.mime.TestMultipartForm#testMultipartFormRFC6532#246, 251",org.apache.http.entity.mime.TestMultipartForm#testMultipartFormBinaryParts#146
106,partially covered,org.apache.http.entity.mime.TestFormBodyPartBuilder#testBuildBodyPartMultipleBuilds#79
107,fully covered,org.apache.http.entity.mime.TestFormBodyPartBuilder#testBuildBodyPartMultipleBuilds#79
115,fully covered,org.apache.http.entity.mime.TestMultipartForm#testMultipartFormStrict#205x2,org.apache.http.entity.mime.TestMultipartForm#testMultipartFormRFC6532#260x2,org.apache.http.entity.mime.TestMultipartForm#testMultipartFormBinaryParts#157
116,fully covered,org.apache.http.entity.mime.TestMultipartForm#testMultipartFormStrict#205x2,org.apache.http.entity.mime.TestMultipartForm#testMultipartFormRFC6532#260x2,org.apache.http.entity.mime.TestMultipartForm#testMultipartFormBinaryParts#157
