/Users/hideshi-s/Desktop/httpclient/httpclient5/src/main/java/org/apache/hc/client5/http/impl/io/Wire.java	org.apache.hc.client5.http.impl.io.Wire#wire(String,InputStream):void	60	87
/Users/hideshi-s/Desktop/httpclient/httpclient5/src/main/java/org/apache/hc/client5/http/impl/io/Wire.java	org.apache.hc.client5.http.impl.io.Wire#enabled():boolean	90	92
/Users/hideshi-s/Desktop/httpclient/httpclient5/src/main/java/org/apache/hc/client5/http/impl/io/Wire.java	org.apache.hc.client5.http.impl.io.Wire#output(InputStream):void	94	98
/Users/hideshi-s/Desktop/httpclient/httpclient5/src/main/java/org/apache/hc/client5/http/impl/io/Wire.java	org.apache.hc.client5.http.impl.io.Wire#input(InputStream):void	100	104
/Users/hideshi-s/Desktop/httpclient/httpclient5/src/main/java/org/apache/hc/client5/http/impl/io/Wire.java	org.apache.hc.client5.http.impl.io.Wire#output(byte[],int,int):void	106	110
/Users/hideshi-s/Desktop/httpclient/httpclient5/src/main/java/org/apache/hc/client5/http/impl/io/Wire.java	org.apache.hc.client5.http.impl.io.Wire#input(byte[],int,int):void	112	116
/Users/hideshi-s/Desktop/httpclient/httpclient5/src/main/java/org/apache/hc/client5/http/impl/io/Wire.java	org.apache.hc.client5.http.impl.io.Wire#output(byte[]):void	118	122
/Users/hideshi-s/Desktop/httpclient/httpclient5/src/main/java/org/apache/hc/client5/http/impl/io/Wire.java	org.apache.hc.client5.http.impl.io.Wire#input(byte[]):void	124	128
/Users/hideshi-s/Desktop/httpclient/httpclient5/src/main/java/org/apache/hc/client5/http/impl/io/Wire.java	org.apache.hc.client5.http.impl.io.Wire#output(int):void	130	133
/Users/hideshi-s/Desktop/httpclient/httpclient5/src/main/java/org/apache/hc/client5/http/impl/io/Wire.java	org.apache.hc.client5.http.impl.io.Wire#input(int):void	135	138
/Users/hideshi-s/Desktop/httpclient/httpclient5/src/main/java/org/apache/hc/client5/http/impl/io/Wire.java	org.apache.hc.client5.http.impl.io.Wire#output(String):void	140	144
/Users/hideshi-s/Desktop/httpclient/httpclient5/src/main/java/org/apache/hc/client5/http/impl/io/Wire.java	org.apache.hc.client5.http.impl.io.Wire#input(String):void	146	150
