HTTPCLIENT-12,2006-05-15T21:44:44.000+0000,null,Fixed 
HTTPCLIENT-25,2006-05-15T21:44:45.000+0000,null,Fixed 
HTTPCLIENT-29,2006-05-15T21:44:46.000+0000,null,Fixed 
HTTPCLIENT-30,2006-05-15T21:44:46.000+0000,null,Fixed 
HTTPCLIENT-51,2006-05-15T21:44:50.000+0000,null,Fixed 
HTTPCLIENT-77,2006-05-15T21:44:53.000+0000,null,Fixed 
HTTPCLIENT-92,2006-05-15T21:44:54.000+0000,null,Fixed 
HTTPCLIENT-105,2006-05-15T21:34:44.000+0000,null,Fixed 
HTTPCLIENT-106,2006-05-15T21:44:54.000+0000,null,Fixed 
HTTPCLIENT-116,2006-05-15T21:44:55.000+0000,null,Fixed 
HTTPCLIENT-128,2006-05-15T21:44:56.000+0000,null,Fixed 
HTTPCLIENT-136,2007-05-13T20:08:23.115+0000,null,Fixed 
HTTPCLIENT-161,2006-05-15T21:44:57.000+0000,null,Fixed 
HTTPCLIENT-194,2006-05-15T21:44:58.000+0000,null,Fixed 
HTTPCLIENT-238,2006-05-15T21:44:58.000+0000,null,Fixed 
HTTPCLIENT-368,2006-05-15T21:45:01.000+0000,null,Fixed 
HTTPCLIENT-424,2008-05-23T16:57:53.518+0000,null,Fixed 
HTTPCLIENT-477,2007-10-18T14:48:34.257+0000,null,Fixed 
HTTPCLIENT-494,2006-06-10T17:38:27.000+0000,null,Fixed 
HTTPCLIENT-497,2007-04-10T14:45:32.474+0000,null,Fixed 
HTTPCLIENT-504,2006-05-15T21:45:01.000+0000,null,Fixed 
HTTPCLIENT-524,2007-07-21T12:13:41.208+0000,null,Fixed 
HTTPCLIENT-525,2008-04-16T17:51:39.273+0000,null,Won't Fix 
HTTPCLIENT-529,2006-05-17T22:28:43.000+0000,null,Won't Fix 
HTTPCLIENT-533,2006-05-31T04:00:19.000+0000,null,Fixed 
HTTPCLIENT-536,2006-06-06T15:53:53.000+0000,null,Fixed 
HTTPCLIENT-553,2006-06-11T05:08:36.000+0000,null,Fixed 
HTTPCLIENT-574,2006-07-28T10:43:37.000+0000,Won't Fix,null 
HTTPCLIENT-574,2006-08-07T10:50:15.000+0000,null,Fixed 
HTTPCLIENT-578,2006-05-31T03:40:40.000+0000,null,Fixed 
HTTPCLIENT-580,2006-05-19T15:08:07.000+0000,null,Invalid 
HTTPCLIENT-585,2006-06-09T20:49:34.000+0000,null,Cannot Reproduce 
HTTPCLIENT-586,2006-06-16T04:26:52.000+0000,null,Incomplete 
HTTPCLIENT-587,2006-06-21T17:54:54.000+0000,null,Fixed 
HTTPCLIENT-588,2006-06-21T18:10:04.000+0000,null,Fixed 
HTTPCLIENT-590,2006-07-24T15:44:22.000+0000,null,Invalid 
HTTPCLIENT-592,2006-12-12T17:34:39.000+0000,null,Incomplete 
HTTPCLIENT-593,2006-08-08T22:12:36.000+0000,null,Fixed 
HTTPCLIENT-594,2006-08-08T22:04:11.000+0000,null,Fixed 
HTTPCLIENT-596,2006-08-08T21:50:50.000+0000,null,Won't Fix 
HTTPCLIENT-598,2006-09-16T10:33:45.000+0000,null,Fixed 
HTTPCLIENT-599,2007-10-24T09:38:09.979+0000,null,Won't Fix 
HTTPCLIENT-603,2006-09-26T07:57:30.000+0000,null,Invalid 
HTTPCLIENT-604,2006-10-02T07:10:29.000+0000,null,Duplicate 
HTTPCLIENT-606,2006-12-08T11:35:49.000+0000,null,Fixed 
HTTPCLIENT-607,2006-11-16T10:27:15.000+0000,null,Invalid 
HTTPCLIENT-612,2006-12-13T14:20:07.000+0000,null,Fixed 
HTTPCLIENT-613,2006-12-08T16:05:59.000+0000,null,Fixed 
HTTPCLIENT-616,2006-12-13T14:06:58.000+0000,null,Fixed 
HTTPCLIENT-617,2007-10-11T09:20:49.243+0000,null,Fixed 
HTTPCLIENT-619,2007-01-05T22:29:01.883+0000,null,Invalid 
HTTPCLIENT-620,2007-01-12T09:05:33.131+0000,null,Duplicate 
HTTPCLIENT-621,2007-01-17T22:06:54.116+0000,null,Won't Fix 
HTTPCLIENT-622,2007-01-16T09:46:48.138+0000,null,Fixed 
HTTPCLIENT-623,2007-01-18T08:29:10.799+0000,null,Invalid 
HTTPCLIENT-623,2007-01-19T09:51:59.152+0000,Invalid,null 
HTTPCLIENT-623,2007-01-19T09:55:43.744+0000,null,Invalid 
HTTPCLIENT-626,2007-02-11T11:03:25.126+0000,null,Cannot Reproduce 
HTTPCLIENT-628,2007-02-11T11:26:54.467+0000,null,Fixed 
HTTPCLIENT-629,2007-02-13T06:04:49.261+0000,null,Invalid 
HTTPCLIENT-630,2007-02-13T18:03:54.611+0000,null,Fixed 
HTTPCLIENT-631,2007-02-13T18:22:20.039+0000,null,Fixed 
HTTPCLIENT-632,2007-02-13T18:36:20.330+0000,null,Fixed 
HTTPCLIENT-633,2007-02-20T14:59:56.520+0000,null,Fixed 
HTTPCLIENT-638,2007-02-21T00:00:21.623+0000,null,Invalid 
