tc_name,lifetime,commit frequency
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/DummyHttpClient.java,190,95.0
module-client/src/test/java/org/apache/http/impl/cookie/TestCookieNetscapeDraft.java,650,43.0
httpclient/src/test/java/org/apache/http/impl/client/TestDecompressingHttpClient.java,472,2.0
module-client/src/test/java/org/apache/http/conn/routing/TestRouteDirector.java,405,202.5
module-client/src/test/java/org/apache/http/impl/conn/tsccm/TestDumbHelpers.java,419,8.5
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/SimpleHttpCacheStorage.java,1889,373.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestWarningValue.java,1870,862.0
module-httpmime/src/test/java/org/apache/http/entity/mime/TestMultipartForm.java,390,78.5
httpclient/src/test/java/org/apache/http/conn/TestConnectionAutoRelease.java,1256,109.0
httpclient/src/test/java/org/apache/http/localserver/RequestBasicAuth.java,2396,128.0
httpclient/src/test/java/org/apache/http/impl/client/integration/TestBasicConnectionManager.java,811,149.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestConditionalRequestBuilder.java,1987,23.0
httpclient/src/test/java/org/apache/http/impl/execchain/TestMinimalClientExec.java,802,40.0
module-client/src/test/java/org/apache/http/client/TestHttpState.java,61,61.0
httpclient/src/test/java/org/apache/http/client/protocol/TestCookie2Support.java,1256,125.0
httpclient/src/test/java/org/apache/http/client/protocol/TestRequestAuthenticationBase.java,400,199.5
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/Serializer.java,1987,978.0
httpclient/src/test/java/org/apache/http/mockup/SessionInputBufferMockup.java,1322,284.0
httpclient/src/test/java/org/apache/http/impl/cookie/TestNetscapeDraftHeaderParser.java,2274,270.5
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/ResponseEquivalent.java,853,426.0
httpclient/src/test/java/org/apache/http/impl/client/TestIdleConnectionEvictor.java,317,317.0
httpclient-cache/src/test/java/org/apache/http/client/cache/impl/TestURIExtractor.java,11,5.0
module-client/src/test/java/org/apache/http/impl/cookie/TestBrowserCompatSpec.java,650,30.5
module-client/src/test/java/org/apache/http/impl/auth/TestDigestScheme.java,650,101.0
httpclient/src/test/java/org/apache/http/impl/client/TestDefaultHttpRequestRetryHandler.java,1510,47.5
httpclient/src/test/java/org/apache/http/impl/auth/TestNegotiateScheme.java,617,98.0
httpclient/src/test/java/org/apache/http/client/protocol/TestRedirects.java,1256,87.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/memcached/TestMemcachedHttpCacheStorage.java,1868,27.5
httpclient/src/test/java/org/apache/http/impl/conn/TestDefaultResponseParser.java,1116,94.0
httpclient-cache/src/test/java/org/apache/http/impl/client/cache/TestDefaultFailureCache.java,966,90.0
module-client/src/test/java/org/apache/http/impl/conn/tsccm/TestWaitingThread.java,419,8.5
httpclient/src/test/java/org/apache/http/impl/client/integration/TestClientReauthentication.java,1168,18.0
httpclient-cache/src/test/java/org/apache/http/client/cache/impl/TestSizeLimitedResponseReader.java,11,5.0
