56,fully covered,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testAsynchronousWorkersMax0#40,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testNullCacheConfig#45,org.apache.http.impl.client.cache.TestStaleWhileRevalidationReleasesConnection#start#99
60,fully covered,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testAsynchronousWorkersMax0#40,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testNullCacheConfig#45,org.apache.http.impl.client.cache.TestStaleWhileRevalidationReleasesConnection#start#99
61,fully covered,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testAsynchronousWorkersMax0#40,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testNullCacheConfig#45,org.apache.http.impl.client.cache.TestStaleWhileRevalidationReleasesConnection#start#99
62,fully covered,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testAsynchronousWorkersMax0#40,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testNullCacheConfig#45,org.apache.http.impl.client.cache.TestStaleWhileRevalidationReleasesConnection#start#99
84,fully covered,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testAsynchronousWorkersMax0#40,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testNullCacheConfig#45,org.apache.http.impl.client.cache.TestStaleWhileRevalidationReleasesConnection#start#99
85,fully covered,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testAsynchronousWorkersMax0#40,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testNullCacheConfig#45,org.apache.http.impl.client.cache.TestStaleWhileRevalidationReleasesConnection#start#99
107,fully covered,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testNullCacheConfig#45,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testAsynchronousWorkersMax0#40,org.apache.http.impl.client.cache.TestStaleWhileRevalidationReleasesConnection#start#112
109,fully covered,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testAsynchronousWorkersMax0#40,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testNullCacheConfig#45,org.apache.http.impl.client.cache.TestStaleWhileRevalidationReleasesConnection#start#112
110,fully covered,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testNullCacheConfig#45,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testAsynchronousWorkersMax0#40,org.apache.http.impl.client.cache.TestStaleWhileRevalidationReleasesConnection#start#112
111,fully covered,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testNullCacheConfig#45,org.apache.http.impl.client.cache.TestCachingHttpClientBuilder#testAsynchronousWorkersMax0#40,org.apache.http.impl.client.cache.TestStaleWhileRevalidationReleasesConnection#start#112
