77,fully covered,"org.apache.http.osgi.impl.TestPropertiesUtils#toLong#106, 107","org.apache.http.osgi.impl.TestPropertiesUtils#toInt#96, 97",org.apache.http.osgi.impl.TestPropertiesUtils#toStringArray#84,"org.apache.http.osgi.impl.TestPropertiesUtils#toDouble#116, 117"
81,fully covered,"org.apache.http.osgi.impl.TestPropertiesUtils#toLong#106, 107","org.apache.http.osgi.impl.TestPropertiesUtils#toInt#96, 97",org.apache.http.osgi.impl.TestPropertiesUtils#toStringArray#84,"org.apache.http.osgi.impl.TestPropertiesUtils#toDouble#116, 117"
94,fully covered,"org.apache.http.osgi.impl.TestPropertiesUtils#toLong#104, 105, 106, 107","org.apache.http.osgi.impl.TestPropertiesUtils#toBoolean#45, 46, 48, 49","org.apache.http.osgi.impl.TestPropertiesUtils#toInt#94, 95, 96, 97","org.apache.http.osgi.impl.TestPropertiesUtils#toSingleString#56, 58, 60","org.apache.http.osgi.impl.TestPropertiesUtils#toDouble#114, 115, 116, 117"
99,fully covered,"org.apache.http.osgi.impl.TestPropertiesUtils#toLong#104, 105, 106, 107","org.apache.http.osgi.impl.TestPropertiesUtils#toBoolean#45, 46, 48, 49","org.apache.http.osgi.impl.TestPropertiesUtils#toInt#94, 95, 96, 97","org.apache.http.osgi.impl.TestPropertiesUtils#toSingleString#56, 58, 60","org.apache.http.osgi.impl.TestPropertiesUtils#toDouble#114, 115, 116, 117"
104,fully covered,"org.apache.http.osgi.impl.TestPropertiesUtils#toBoolean#45, 46, 48, 49","org.apache.http.osgi.impl.TestPropertiesUtils#toLong#104, 105, 106, 107","org.apache.http.osgi.impl.TestPropertiesUtils#toInt#94, 95, 96, 97","org.apache.http.osgi.impl.TestPropertiesUtils#toSingleString#56, 58, 60","org.apache.http.osgi.impl.TestPropertiesUtils#toDouble#114, 115, 116, 117"
120,fully covered,org.apache.http.osgi.impl.TestPropertiesUtils#toBoolean#43
124,fully covered,"org.apache.http.osgi.impl.TestPropertiesUtils#toBoolean#45, 46, 48, 49"
129,fully covered,org.apache.http.osgi.impl.TestPropertiesUtils#toBoolean#43
133,fully covered,"org.apache.http.osgi.impl.TestPropertiesUtils#toSingleString#56, 60"
138,fully covered,org.apache.http.osgi.impl.TestPropertiesUtils#toBoolean#43
142,fully covered,"org.apache.http.osgi.impl.TestPropertiesUtils#toStringArray#70, 75, 80, 84"
144,fully covered,org.apache.http.osgi.impl.TestPropertiesUtils#toStringArray#70
147,fully covered,"org.apache.http.osgi.impl.TestPropertiesUtils#toStringArray#75, 80, 84"
149,fully covered,"org.apache.http.osgi.impl.TestPropertiesUtils#toStringArray#75, 80"
150,fully covered,"org.apache.http.osgi.impl.TestPropertiesUtils#toStringArray#75, 80"
151,fully covered,"org.apache.http.osgi.impl.TestPropertiesUtils#toStringArray#75x3, 80x3","org.apache.http.osgi.impl.TestPropertiesUtils#toStringArray#75x4, 80x4"
152,fully covered,"org.apache.http.osgi.impl.TestPropertiesUtils#toStringArray#75x3, 80x3"
153,fully covered,"org.apache.http.osgi.impl.TestPropertiesUtils#toStringArray#75x2, 80x2"
156,fully covered,"org.apache.http.osgi.impl.TestPropertiesUtils#toStringArray#75, 80"
160,fully covered,org.apache.http.osgi.impl.TestPropertiesUtils#toStringArray#84
173,fully covered,org.apache.http.osgi.impl.TestPropertiesUtils#toStringArray#84
178,fully covered,org.apache.http.osgi.impl.TestPropertiesUtils#toBoolean#43
182,fully covered,"org.apache.http.osgi.impl.TestPropertiesUtils#toInt#94, 95, 96, 97"
187,fully covered,org.apache.http.osgi.impl.TestPropertiesUtils#toBoolean#43
191,fully covered,"org.apache.http.osgi.impl.TestPropertiesUtils#toLong#104, 105, 106, 107"
196,fully covered,org.apache.http.osgi.impl.TestPropertiesUtils#toBoolean#43
200,fully covered,"org.apache.http.osgi.impl.TestPropertiesUtils#toDouble#114, 115, 116, 117"
