module-client/src/main/java/org/apache/http/impl/conn/LoggingSessionInputBuffer.java,45,52,_BUG-HTTPCLIENT-1002-176-11
module-client/src/main/java/org/apache/http/impl/cookie/BasicClientCookie2.java,89,102,_BUG-HTTPCLIENT-1031-175-241
httpclient/src/main/java/org/apache/http/client/utils/URIUtils.java,134,141,_BUG-HTTPCLIENT-1066-174-385
httpclient/src/main/java/org/apache/http/client/utils/URIUtils.java,142,175,_BUG-HTTPCLIENT-1066-174-385
httpclient/src/main/java/org/apache/http/impl/client/DeflateDecompressingEntity.java,1,175,_BUG-HTTPCLIENT-1075-173-324
httpclient/src/main/java/org/apache/http/impl/client/GzipDecompressingEntity.java,1,91,_BUG-HTTPCLIENT-1075-173-324
httpclient/src/main/java/org/apache/http/client/entity/DecompressingEntity.java,1,76,_BUG-HTTPCLIENT-1078-172-181
httpclient/src/main/java/org/apache/http/impl/auth/NegotiateScheme.java,31,48,_BUG-HTTPCLIENT-1079-171-12
httpclient/src/main/java/org/apache/http/impl/auth/NegotiateScheme.java,54,61,_BUG-HTTPCLIENT-1079-171-12
httpclient/src/main/java/org/apache/http/impl/auth/NegotiateScheme.java,64,79,_BUG-HTTPCLIENT-1079-171-12
httpclient/src/main/java/org/apache/http/impl/auth/NegotiateScheme.java,86,107,_BUG-HTTPCLIENT-1079-171-12
httpclient/src/main/java/org/apache/http/impl/auth/NegotiateScheme.java,121,134,_BUG-HTTPCLIENT-1079-171-12
httpclient/src/main/java/org/apache/http/impl/auth/NegotiateScheme.java,141,237,_BUG-HTTPCLIENT-1079-171-12
httpclient/src/main/java/org/apache/http/impl/auth/NegotiateScheme.java,241,248,_BUG-HTTPCLIENT-1079-171-12
httpclient/src/main/java/org/apache/http/impl/auth/NegotiateScheme.java,306,325,_BUG-HTTPCLIENT-1079-171-12
httpclient/src/main/java/org/apache/http/impl/auth/NegotiateScheme.java,334,343,_BUG-HTTPCLIENT-1079-171-12
module-client/src/main/java/org/apache/http/conn/ssl/AbstractVerifier.java,1,338,_BUG-HTTPCLIENT-1097-167-261
httpclient-cache/src/main/java/org/apache/http/impl/client/cache/CacheValidityPolicy.java,140,147,_BUG-HTTPCLIENT-1100-166-27
httpclient/src/main/java/org/apache/http/impl/auth/AuthSchemeBase.java,125,135,_BUG-HTTPCLIENT-1107-156-141
