Date,File,Attribution
2016/02/17,httpclient5-osgi/src/main/java/org/apache/hc/client5/http/osgi/impl/OSGiProxyConfiguration.java,production
2016/02/17,httpclient5-osgi/src/test/java/org/apache/hc/client5/http/osgi/impl/OSGiProxyConfigurationTest.java,test
2016/02/06,httpclient5-fluent/src/main/java/org/apache/hc/client5/http/fluent/Content.java,production
2016/01/27,httpclient5-osgi/src/test/java/org/apache/hc/client5/http/osgi/impl/MimeExportedIT.java,production
2016/01/27,httpclient5-win/src/main/java/org/apache/hc/client5/http/impl/win/WinHttpClients.java,production
2016/01/27,httpclient5-win/src/main/java/org/apache/hc/client5/http/impl/win/WindowsNegotiateScheme.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/auth/util/ByteArrayBuilder.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/entity/mime/FormBodyPartBuilder.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/BasicResponseHandler.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/auth/BasicAuthCache.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/auth/BasicScheme.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/auth/DigestScheme.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/auth/GGSSchemeBase.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/auth/HttpAuthenticator.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/cookie/AbstractCookieSpec.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/cookie/LaxExpiresHandler.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/cookie/RFC6265CookieSpec.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/io/LenientHttpResponseParser.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/io/LoggingInputStream.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/io/LoggingOutputStream.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/sync/DefaultServiceUnavailableRetryStrategy.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/sync/HttpClientBuilder.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/sync/IdleConnectionEvictor.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/methods/RequestBuilder.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/psl/PublicSuffixMatcher.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/psl/PublicSuffixMatcherLoader.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/ssl/DefaultHostnameVerifier.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/ssl/SSLConnectionSocketFactory.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/utils/URIUtils.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/utils/URLEncodedUtils.java,production
2016/01/27,httpclient5/src/test/java/org/apache/hc/client5/http/entity/TestGZip.java,test
2016/01/27,httpclient5/src/test/java/org/apache/hc/client5/http/ssl/TestDefaultHostnameVerifier.java,test
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/auth/NTLMEngineImpl.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/auth/DigestScheme.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/sync/CloseableHttpClient.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/auth/BasicAuthCache.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/auth/BasicScheme.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/auth/DigestScheme.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/auth/HttpAuthenticator.java,production
2016/01/27,httpclient5/src/main/java/org/apache/hc/client5/http/impl/auth/NTLMScheme.java,production
2016/01/26,httpclient5/src/main/java/org/apache/hc/client5/http/impl/sync/HttpClientBuilder.java,production
2016/01/26,httpclient-cache/src/main/java/org/apache/hc/client5/http/cache/CacheResponseStatus.java,production
2016/01/26,httpclient-cache/src/main/java/org/apache/hc/client5/http/cache/HeaderConstants.java,production
2016/01/26,httpclient-cache/src/main/java/org/apache/hc/client5/http/cache/HttpCacheContext.java,production
2016/01/26,httpclient-cache/src/main/java/org/apache/hc/client5/http/cache/HttpCacheEntry.java,production
