project,num_covered_instruction,num_uncovered_instruction,num_total_instruction,C0coverage
ActiveJpa/activejpa,0,16,16,0
ActiveJpa/activejpa,0,207,207,0
ActiveJpa/activejpa,0,108,108,0
ActiveJpa/activejpa,0,106,106,0
ActiveJpa/activejpa,0,94,94,0
ActiveJpa/activejpa,0,76,76,0
ActiveJpa/activejpa,0,46,46,0
ActiveJpa/activejpa,0,16,16,0
ActiveJpa/activejpa,0,100,100,0
ActiveJpa/activejpa,181,91,272,67
ActiveJpa/activejpa,497,86,583,85
ActiveJpa/activejpa,0,83,83,0
ActiveJpa/activejpa,0,39,39,0
ActiveJpa/activejpa,0,35,35,0
ActiveJpa/activejpa,58,23,81,72
ActiveJpa/activejpa,0,488,488,0
ActiveJpa/activejpa,0,353,353,0
ActiveJpa/activejpa,0,285,285,0
ActiveJpa/activejpa,0,172,172,0
ActiveJpa/activejpa,0,160,160,0
ActiveJpa/activejpa,0,137,137,0
ActiveJpa/activejpa,0,114,114,0
ActiveJpa/activejpa,0,109,109,0
ActiveJpa/activejpa,0,70,70,0
ActiveJpa/activejpa,0,60,60,0
ActiveJpa/activejpa,0,38,38,0
ActiveJpa/activejpa,0,14,14,0
ActiveJpa/activejpa,0,14,14,0
ActiveJpa/activejpa,0,14,14,0
ActiveJpa/activejpa,0,14,14,0
ActiveJpa/activejpa,0,14,14,0
ActiveJpa/activejpa,0,14,14,0
ActiveJpa/activejpa,0,14,14,0
ActiveJpa/activejpa,0,13,13,0
ActiveJpa/activejpa,0,12,12,0
ActiveJpa/activejpa,0,12,12,0
ActiveJpa/activejpa,0,12,12,0
ActiveJpa/activejpa,0,159,159,0
ActiveJpa/activejpa,0,107,107,0
ActiveJpa/activejpa,0,71,71,0
ActiveJpa/activejpa,0,13,13,0
ActiveJpa/activejpa,0,430,430,0
ActiveJpa/activejpa,0,161,161,0
ActiveJpa/activejpa,0,43,43,0
ActiveJpa/activejpa,0,19,19,0
ActiveJpa/activejpa,0,62,62,0
ActiveJpa/activejpa,0,49,49,0
ActiveJpa/activejpa,0,9,9,0
DozerMapper/dozer,16,0,16,100
DozerMapper/dozer,20,0,20,100
DozerMapper/dozer,19,0,19,100
DozerMapper/dozer,38,0,38,100
DozerMapper/dozer,147,71,218,67
DozerMapper/dozer,N/A,N/A,N/A,97
DozerMapper/dozer,261,30,291,90
DozerMapper/dozer,59,9,68,87
DozerMapper/dozer,241,9,250,96
DozerMapper/dozer,10,0,10,100
DozerMapper/dozer,9,0,9,100
Esri/geometry-api-java,3242,2455,5697,57
Esri/geometry-api-java,248,1453,1701,15
Esri/geometry-api-java,1606,1420,3026,53
Esri/geometry-api-java,9054,1414,10468,86
Esri/geometry-api-java,0,1384,1384,0
Esri/geometry-api-java,0,1381,1381,0
Esri/geometry-api-java,0,1379,1379,0
Esri/geometry-api-java,656,1277,1933,34
Esri/geometry-api-java,3593,1210,4803,75
Esri/geometry-api-java,639,1192,1831,35
Esri/geometry-api-java,N/A,N/A,N/A,4
Esri/geometry-api-java,318,1142,1460,22
Esri/geometry-api-java,3956,1140,5096,78
Esri/geometry-api-java,5935,1025,6960,85
