Date,Author,File,Attribution,ID
2015/01/29,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/JVM.java,production,441
2015/01/19,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/XStream.java,production,257
2015/01/19,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/reflection/LambdaConverter.java,production,411
2015/01/19,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/core/util/Types.java,production,487
2015/01/19,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/mapper/LambdaMapper.java,production,622
2014/10/30,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/reflection/AbstractReflectionConverter.java,production,400
2014/10/30,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/reflection/CGLIBEnhancedConverter.java,production,401
2014/10/30,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/reflection/SerializationMethodInvoker.java,production,422
2014/10/30,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/mapper/AbstractAttributeAliasingMapper.java,production,603
2014/06/17,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/collections/TreeSetConverter.java,production,339
2014/04/09,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/reflection/AbstractReflectionConverter.java,production,400
2014/04/09,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/reflection/CGLIBEnhancedConverter.java,production,401
2014/04/09,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/reflection/ExternalizableConverter.java,production,403
2014/04/06,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/persistence/AbstractFilePersistenceStrategy.java,production,639
2014/04/06,Jörg Schaible,xstream-hibernate/src/java/com/thoughtworks/xstream/hibernate/converter/HibernatePersistentCollectionConverter.java,production,230
2014/04/06,Jörg Schaible,xstream-hibernate/src/java/com/thoughtworks/xstream/hibernate/converter/HibernatePersistentMapConverter.java,production,231
2014/04/06,Jörg Schaible,xstream-hibernate/src/java/com/thoughtworks/xstream/hibernate/converter/HibernatePersistentSortedMapConverter.java,production,232
2014/04/06,Jörg Schaible,xstream-hibernate/src/java/com/thoughtworks/xstream/hibernate/converter/HibernatePersistentSortedSetConverter.java,production,233
2014/04/06,Jörg Schaible,xstream-hibernate/src/java/com/thoughtworks/xstream/hibernate/converter/HibernateProxyConverter.java,production,234
2014/04/06,Jörg Schaible,xstream-hibernate/src/java/com/thoughtworks/xstream/hibernate/mapper/HibernateMapper.java,production,235
2014/04/06,Jörg Schaible,xstream-hibernate/src/java/com/thoughtworks/xstream/hibernate/util/Hibernate.java,production,237
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/enums/EnumSingleValueConverter.java,production,344
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/annotations/XStreamConverter.java,production,288
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/SqlTimestampConverter.java,production,373
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/io/AttributeNameIterator.java,production,493
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/MarshallingStrategy.java,production,256
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/XStream.java,production,257
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/XStreamer.java,production,259
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/ConversionException.java,production,294
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/Converter.java,production,295
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/ConverterLookup.java,production,296
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/ConverterMatcher.java,production,297
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/DataHolder.java,production,299
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/ErrorWriter.java,production,301
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/SingleValueConverterWrapper.java,production,304
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/UnmarshallingContext.java,production,305
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/AbstractSingleValueConverter.java,production,307
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/BigDecimalConverter.java,production,308
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/BigIntegerConverter.java,production,309
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/BooleanConverter.java,production,310
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/ByteConverter.java,production,311
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/CharConverter.java,production,312
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/DateConverter.java,production,313
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/DoubleConverter.java,production,314
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/FloatConverter.java,production,315
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/IntConverter.java,production,316
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/LongConverter.java,production,318
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/NullConverter.java,production,319
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/ShortConverter.java,production,320
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/StringBufferConverter.java,production,321
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/StringBuilderConverter.java,production,322
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/StringConverter.java,production,323
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/URIConverter.java,production,325
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/URLConverter.java,production,326
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/basic/UUIDConverter.java,production,327
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/collections/AbstractCollectionConverter.java,production,328
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/collections/ArrayConverter.java,production,329
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/collections/BitSetConverter.java,production,330
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/collections/CharArrayConverter.java,production,331
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/collections/CollectionConverter.java,production,332
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/collections/MapConverter.java,production,334
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/collections/PropertiesConverter.java,production,335
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/collections/SingletonCollectionConverter.java,production,336
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/collections/SingletonMapConverter.java,production,337
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/collections/TreeMapConverter.java,production,338
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/collections/TreeSetConverter.java,production,339
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/enums/EnumConverter.java,production,341
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/enums/EnumMapConverter.java,production,342
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/enums/EnumSetConverter.java,production,343
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/enums/EnumSingleValueConverter.java,production,344
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/enums/EnumToStringConverter.java,production,345
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/CharsetConverter.java,production,349
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/ColorConverter.java,production,350
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/CurrencyConverter.java,production,351
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/DurationConverter.java,production,352
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/DynamicProxyConverter.java,production,353
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/EncodedByteArrayConverter.java,production,354
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/FileConverter.java,production,355
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/FontConverter.java,production,356
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/GregorianCalendarConverter.java,production,357
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/ISO8601DateConverter.java,production,358
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/ISO8601GregorianCalendarConverter.java,production,359
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/ISO8601SqlTimestampConverter.java,production,360
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/JavaClassConverter.java,production,361
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/JavaFieldConverter.java,production,362
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/JavaMethodConverter.java,production,363
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/LocaleConverter.java,production,364
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/LookAndFeelConverter.java,production,365
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/NamedArrayConverter.java,production,366
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/NamedCollectionConverter.java,production,367
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/NamedMapConverter.java,production,368
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/PropertyEditorCapableConverter.java,production,369
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/RegexPatternConverter.java,production,370
2014/03/13,Jörg Schaible,xstream/src/java/com/thoughtworks/xstream/converters/extended/SqlDateConverter.java,production,371
